audio_array,translated_text
"[0.00000000e+00 0.00000000e+00 5.96046448e-08 ... 3.75807285e-04
 4.18961048e-04 5.49376011e-04]",Visa requirements and spending varies according to the country and is affected by the country and affected by what country you came from.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  6.48498535e-05
 -1.42455101e-05 -3.17692757e-05]",2 songs of the movies of movies of the movies of the movie. Floss Humps and City of Stars Well off to yourHanncing Stud 2 has received 26 Namics - More other spelcol is more than.
[0.         0.         0.         ... 0.0002408  0.00049013 0.0008564 ],The irish government is vigorous on the quarrel of MID of law to fix the situation.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.22136688e-05
 -4.91738319e-05 -5.61475754e-05]",When there is a dry or without canceled to the deep valley approved the deep valley approaches or: can be called canyffhioiary's.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.19805336e-05
 -1.14440918e-05 -1.28746033e-05]",Played 403 goals in 461 matches when she's at his time.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.09348106e-05
 -6.37769699e-06 -7.44462013e-05]","When the drinks were infected with the face of food, they were experienced faces against the victims that the work of OHA is left their Security deposit amount and left their security deposit."
"[-5.96046448e-08  1.19209290e-07 -1.19209290e-07 ... -1.85764432e-02
 -1.89256072e-02 -2.08030343e-02]",Many people are found to see a television show that makes us aware of such a test or feeling that we will never participate or apply that knowledge.
"[ 0.          0.          0.         ... -0.00105041 -0.0011006
 -0.00141883]",Medical doctors and researchers discovered the basis of use as a tool to use as a tool of medical diagnostic.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -8.64267349e-06
 -8.16583633e-06 -9.05990601e-06]",Boking pursuening by advanced Buyings that they will have no trouble sleep when they reach their destinations.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.87837601e-05
 -6.37173653e-05 -7.12871552e-05]","16,2୯୯00 were said in the 21th century, the largest provincess was made of India's fighting with the tideor to the people of the Indian group."
"[ 0.          0.          0.         ... -0.00096428 -0.00126266
 -0.0023554 ]",National Horicon Center predicted the eccigen center of Wednesdially strengthened by Wednesday and become a stranger to become Haraze.
"[ 0.          0.          0.         ...  0.00012916  0.00029647
 -0.00041229]",The problem started with January 1 of January. The Obaana Local Resmented Card to Complain their Traditional and Regular Nut Year.
[0.         0.         0.         ... 0.0030899  0.00272709 0.00323331],There is a thousand of events nugging a thousand in events but some of them is deadly
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.81198120e-05
 -1.57356262e-05 -1.92523003e-05]",The number of deaths are at least 15 such a number that is being assumed
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.49011612e-05
 -2.13384628e-05 -9.77516174e-06]",Smenant needs to show the ep mail address and international phone number to figure advice and climb.
"[ 0.          0.          0.         ... -0.00078338  0.00076878
  0.00112969]",You get adapted to the new culture when they have been abroad and you forget some practice from your own home culture.
"[ 0.          0.          0.         ... -0.00093639 -0.00111794
 -0.00131541]","In the 1960s, he was back to Algeria a new-aheader beneficial to teach"
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -9.93609428e-05
 -4.73856926e-04  4.65631485e-04]",The nadel first serving the first servacle gains 88% net points in the match
[0.         0.         0.         ... 0.00336409 0.00140285 0.00394624],Reburses assumes that it's in the site the container in the site is denoting the creeping gap.
"[ 0.          0.          0.         ... -0.00056612 -0.00048113
 -0.00053519]",The defendent for the right to use to the right to occurring for an acceleration)
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.30021095e-05
 5.87701797e-05 6.62803650e-05]","Mr. RodDad sign to sign the kiotto climt agreement distinguished the United States of America, will be the only developed Nestable Nations not approved the agency."
"[ 0.00000000e+00  5.96046448e-08 -5.96046448e-08 ... -2.31975317e-03
 -2.51078606e-03  8.50677490e-04]",Corno is a famous but administrative English teachers who taught under the morrow and claimed to the pearl of his career's chests.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.94718552e-06
 -5.17964363e-05 -3.31401825e-05]",Once in ten years she led the sowov part in Mission that led a software leaders in Business Business that was performing over the final racer rays.
"[ 0.          0.          0.         ... -0.00684267 -0.00780731
 -0.00991893]","Anything that world have place is can only be able to reduce the creeth only, for production, the new method of production has developed to reduce the owestens."
"[ 0.          0.          0.         ... -0.00014871 -0.00019789
 -0.00022614]",Twin Outer yesterday was to land at Konzada yesterday pienzi-Flight cisi 4684 but left it once before
"[ 0.          0.          0.         ... -0.00262153 -0.00188804
 -0.00279784]",The Bobika was born the proscious when playing the capital of the Croatian Zaggage
"[ 0.00000000e+00 -5.96046448e-08 -2.98023224e-07 ...  3.27765942e-04
  1.24633312e-04  5.56111336e-04]",Damble Scottir's Deapecrat cans cans was a hotter in Santaclara.
"[ 0.          0.          0.         ... -0.00011849 -0.0001117
 -0.00012398]",Beenual groups in the teaco area and the piabas living in groups such as Piabes who traverse the lifes
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.47170639e-05
 5.14984131e-05 9.41753387e-06]","Installation of modern city Coss 10 Organized by the brager fish in the 18th century, and it was used as used as importantly by foodian Romans and medows."
"[ 0.          0.          0.         ... -0.00091624 -0.00038248
 -0.00083214]",The previous operators are not able to have a scanner to scanner with their privacy and fearless.
"[ 0.          0.          0.         ...  0.00057214 -0.00158006
  0.00075507]",Sparish spilled 480 km or hours of 1380 km / hours 133 meters / seconds;The wind he speaks of the 300 mph.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.90817833e-05
 -6.19888306e-05 -7.41481781e-05]",It needs to be earned from the light to return to her former energy level.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.98755074e-05
 2.34901905e-04 4.04238701e-04]","When house aspected the second sentence, the Laws Input Service was a change in it, and then it was home in the sena."
"[ 0.          0.          0.         ...  0.00076777  0.00045097
 -0.00071245]",The main islands of Cunton Islands but the main islands made up 15 different islands are ratetongang and Iducak
[0.         0.         0.         ... 0.00011802 0.00011164 0.00012428],In such a moment you will tired of tired as a result of looking for piano. Applying for more volume for more volumes. Keeps do not need to press the key.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -8.39233398e-05
 -7.56978989e-05 -7.54594803e-05]",The police says that was high-handed of the provangano's right-handed man of the Own Palemono because he has your own power networks you have your policy's policy.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.59551811e-05
 3.97562981e-05 5.35249710e-05]",Nba after the trial positive-19 was predicated Nba after the bacterhood-19.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.19020653e-05
  7.40289688e-05 -5.37276268e-04]",This problem is diminishing with lens production by lens makers
[0.         0.         0.         ... 0.00073218 0.00071931 0.00070947],Kawelile's whipping of Kabers 'Cabers' curse is revenge and in the same way they have many friends.
"[ 0.          0.          0.         ... -0.0001722  -0.00033998
  0.00022876]",It was a major stay land in African Warld's Henry Lewis Gates gates
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.47700310e-04
 8.52346420e-05 1.95801258e-04]",After said in reported that Afghanistan was replaced to land with a bombing in the plane.
[0.         0.         0.         ... 0.00234824 0.00224489 0.00185233],The National Congress of Brazil's Congresses 10 years of time to or such civil marriage is now esselmes in the Rio D Grand Do Sierre dishes control
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.49011612e-06
  3.57627869e-07 -5.36441803e-07]",The modern sport of fection is made by any university committed by any university and rated from a number of profitasive competition until effortless of efficiency.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 7.06315041e-05
 2.67028809e-05 3.06367874e-05]",Oyapock River Seven connects Brazilian Oyapook and French Guajah city on two sides of the Oyapal Rule of Oyapood Rule.
"[ 0.          0.          0.         ... -0.00084919  0.00114316
 -0.00042951]",It means that the other people know what other people are able to know or expect it to make sure that it is successfully precious successfully?
"[ 0.          0.          0.         ...  0.00075334 -0.00032407
  0.00010324]",British in an abdominal attack from an accidental attack from an abdominal assault in a barde. The Vearch of Italy captured
"[ 0.          0.          0.         ... -0.00014246 -0.00103474
  0.00048274]",Torndo hurts a small area as other terriment but they can destroy everything that comes down on their way.
[0.         0.         0.         ... 0.01306868 0.01237881 0.01591617],Scientists have discovered a landscript of the glew on the bottom of the lice surfaces that the moon is visible from shrinking.
"[ 0.          0.          0.         ... -0.00242937 -0.00214362
 -0.00201768]",The world's highest leader is a nation in the country's the world's Oil Khaythnnie have been to relevant to yourself and the country is required to release the country from the previous time 1979.
"[ 0.          0.          0.         ... -0.00250053 -0.00251555
 -0.00317168]",The Dowa is controlled to the Dowa of $ 1200 Anonyan company of 1200 Anonyan company used in this action as in the information of the British newspaper Galide.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.33514404e-05
 -1.34110451e-05 -1.85370445e-05]",In spite of this is a group of Morior to Moriorics a group of Morian people who have developed their special peaceful culture.
"[ 0.          0.          0.         ...  0.00022638 -0.00029141
  0.00024974]",Nothing vempted to mention the diabetes of the diabetes of the diabetes of the diabetes of this discoveries with some other experts
"[ 0.          0.          0.         ... -0.00177604 -0.00057542
 -0.00081593]","It provides about four-quality resolutions of 35 mm ye, resolution 3136 mm2 vs 864."
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.44514847e-05
 2.32458115e-05 9.72151756e-05]","The table needs to be validated by the Minimum Porcharet, and the addresses required to cease."
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.48551369e-05
 -1.68085098e-05 -8.34465027e-06]",However Beljium and Sweden said all French languages ​​and Swedes schools would be able to understand the Standard French Numbering system.
"[ 0.00000000e+00 -5.96046448e-08 -5.36441803e-07 ...  9.54270363e-03
  8.43364000e-03  8.58843327e-03]",One triehatcherphosthare was not just the leash too hardly branches and a rod
"[ 0.          0.          0.         ... -0.00193739  0.00107425
  0.00057197]",Staletles of water floating on water due to tense on the surface.
[0.         0.         0.         ... 0.00122237 0.00113356 0.00125724],Copy your friends with a relative of your friendship also willing or related to the related to help.
"[-5.96046448e-08  5.96046448e-08 -5.96046448e-08 ...  3.46285105e-03
  2.68983841e-03  3.23837996e-03]",The northern cultural effect of jarmon in the northern intension at about 15th century
"[ 0.          0.          0.         ... -0.0096336  -0.00996989
 -0.00966066]",Don't look on the floor or sink on the floor without knowing the local living living things.
